Title,Author,Year,Views
Apex Legends,Respwan Entertainment,2019,1
Assassin's Creed: Brotherhood,Ubisoft,2010,1
Assassin's Creed II,Ubisoft,2009,1
Assassin's Creed III,Ubisoft,2012,1
Assassin's Creed Odyssey,Ubisoft,2018,1
Before Your Eyes,Goodbye World Games,2021,1
Call of Duty: Black Ops III,Treyarch,2015,1
Castle Crashers,The Behemoth,2008,1
Cyberpunk 2077,CD Project Red,2020,1
Doom 64,Midway Games,1997,1
Far Cry 3,Ubisoft,2012,1
Fifa 13,EA,2012,1
Fifa 14,EA,2013,1
Fifa 15,EA,2014,1
Fifa 16,EA,2015,1
Fifa 17,EA,2016,1
Firewatch,Campo,2016,1
Goat Simulator,Coffee Stain Studios,2014,1
Goose Goose Duck, Gaggle Studio,2021,1
Grand Theft Auto V,Rockstar,2013,1
Halo 3,Bungie,2007,1
Injustice: Gods Among Us,NetherRealm Studios,2013,1
It Takes Two,Hazelight Studios,2021,1
League of Legends,Riot Games,2009,1
Lego Star Wars: The Complete Sage,Traveller's Tales,2007,1
Marvel's Spider-Man,Insomniac Games,2018,1
Minecraft,Notch,2011,1
Mirror's Edge,EA,2008,1
No Man's Sky,Hello Games,2016,1
Portal,Valve,2007,1
Red Dead Redemption 2,Rockstar,2018,1
Star Wars Battlefront,EA,2015,1
Star Wars Battlefront II,EA,2017,1
Star Wars Knights of the Old Republic II: The Sith Lords,Obsidian Entertainment,2004,1
Subnautica,Unknown Worlds Entertainment,2018,1
Super Smash Bros Brawl,Nintendo,2008,1
Team Fortress 2,Valve,2007,1
Terraria,Re-Logic,2011,1
The Binding of Issac: Afterbirth,Nicalis,2015,1
The Elderr Scrolls V: Skyrim,Bethesda Game Studios,2011,1
The Escapists,Team17,2015,1
The Legend of Zelda: Breath of the Wild,Nintendo,2017,1
Titanfall,Respawn Entertainment,2014,1
Titanfall 2,Respawn Entertainment,2016,1
Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,2015,1
Tony Hawk's Pro Skater 3,Neversoft,2001,1
Valorant,Riot Games,2020,1
