Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
196390,What Is Property?,Pierre-Joseph Proudhon,"Proudhon, Pierre-Joseph",,"=""1406942146""","=""9781406942149""",0,3.80,,Paperback,310,2006,1840,,2023/02/28,to-read,to-read (#9),to-read,,,,0,0
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Malcolm Bowie, Mark Overstall, Margaret Mauldon, Eleanor Marx-Aveling","=""0192840398""","=""9780192840394""",5,3.70,Oxford University Press,Paperback,329,2004,1856,,2022/09/10,,,read,,,,1,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.28,Bantam Books,Paperback,289,1993,1969,,2023/02/22,to-read,to-read (#8),to-read,,,,0,0
245483,Classical Mechanics,John R. Taylor,"Taylor, John R.",,"=""189138922X""","=""9781891389221""",0,4.29,University Science Books,Board Book,786,2005,2003,,2023/02/21,to-read,to-read (#7),to-read,,,,0,0
9646,Homage to Catalonia,George Orwell,"Orwell, George",,"=""0156421178""","=""9780156421171""",3,4.09,"Harcourt, Inc.(Harvest Book)",Paperback,232,1980,1938,2023/01/01,2023/01/23,,,read,,,,1,0
18414,Utopia,Thomas More,"More, Thomas",Paul Turner,"=""0140449108""","=""9780140449105""",0,3.55,Penguin Classics,Paperback,163,2003,1516,,2023/02/15,currently-reading,currently-reading (#6),currently-reading,,,,1,0
25179377,Narrative of the Life of Fredrick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""""","=""""",4,4.09,Xist Classics,Kindle Edition,72,2015,1845,,2023/02/10,,,read,,,,1,0
11347493,The Principles of Communism,Friedrich Engels,"Engels, Friedrich",,"=""""","=""""",5,4.01,Eduard Bernstein in the German Social Democratic Party’s Vorwärts!,ebook,25,1914,1847,,2023/02/08,,,read,,,,1,0
6771658,An Answer to the Question: What Is Enlightenment?,Immanuel Kant,"Kant, Immanuel",,"=""0141043881""","=""9780141043883""",3,3.85,Penguin Books Ltd,Paperback,121,2009,1784,,2023/02/08,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.04,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2023/02/08,,,read,,,,2,0
187062,Anti-Dühring: Herr Eugen Dühring's Revolution in Science,Friedrich Engels,"Engels, Friedrich",,"=""""","=""""",0,4.29,International Publishers,Paperback,365,1966,1878,,2023/02/08,marxism,marxism (#3),read,,,,0,0
9835456,The Three Sources and Three Component Parts of Marxism. Karl Marx. Frederick Engels,Vladimir Lenin,"Lenin, Vladimir",,"=""1172421110""","=""9781172421114""",4,4.19,Nabu Press,Paperback,84,2010,1899,,2023/02/08,marxism,marxism (#2),read,,,,1,0
201385,The Culture Industry,Theodor W. Adorno,"Adorno, Theodor W.",J.M. Bernstein,"=""0415253802""","=""9780415253802""",0,4.04,Routledge,Paperback,224,2001,1944,,2023/02/08,"currently-reading, marxism","currently-reading (#5), marxism (#1)",currently-reading,,,,1,0
123933,No Exit,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0573613052""","=""9780573613050""",5,4.12,"Samuel French, Inc.",Paperback,60,2010,1944,,2023/02/08,,,read,,,,1,0
404273,Blackshirts and Reds: Rational Fascism and the Overthrow of Communism,Michael Parenti,"Parenti, Michael",,"=""0872863298""","=""9780872863293""",0,4.43,City Lights Books,Paperback,166,2001,1997,,2023/02/05,to-read,to-read (#6),to-read,,,,0,0
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",0,4.27,Scribner,Hardcover,626,2021,2021,,2023/02/02,to-read,to-read (#5),to-read,,,,0,0
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",0,3.76,Free Press,Hardcover,276,2008,2008,,2023/01/30,to-read,to-read (#4),to-read,,,,0,0
349650,One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society,Douglas Kellner,"Kellner, Douglas",Herbert Marcuse,"=""0807014176""","=""9780807014172""",0,3.98,Beacon Press,Paperback,260,1991,1964,,2023/01/30,to-read,to-read (#3),to-read,,,,0,0
85812,Dialectic of Enlightenment: Philosophical Fragments,Theodor W. Adorno,"Adorno, Theodor W.","Gunzelin Schmid Nörr, Max Horkheimer, Edmund Jephcott","=""0804736332""","=""9780804736336""",0,4.11,Stanford University Press,Paperback,304,2007,1944,,2023/01/30,to-read,to-read (#2),to-read,,,,0,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,"=""159308143X""","=""9781593081430""",4,3.96,Barnes & Noble Classics,Paperback,293,2004,1920,,2023/01/29,love-stories,love-stories (#1),read,,,,1,0
6593810,Learn You a Haskell for Great Good!,Miran Lipovača,"Lipovača, Miran",,"=""""","=""""",4,4.29,,ebook,176,,2011,,2023/01/23,,,read,,,,2,0
51893,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich","Walter Kaufmann, Silvia Cecchini, Domenico Ciampoli","=""""","=""""",0,4.07,Penguin Books,Paperback,327,1978,1883,2023/01/03,2022/12/18,currently-reading,currently-reading (#3),currently-reading,,,,2,0
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","Jonathan Barnes, Hugh Tredennick, James Alexander Kerr Thomson","=""0140449493""","=""9780140449495""",0,3.98,Penguin Classics,Paperback,329,2004,-349,2022/12/01,2022/12/18,,,read,,,,1,0
9248625,Of Human Freedom (Penguin Great Ideas),Epictetus,"Epictetus, Epictetus",Robert F. Dobbin,"=""0141192356""","=""9780141192352""",0,4.18,Penguin Classics,Paperback,91,2010,100,2022/09/01,2022/12/18,,,read,,,,1,0
5130,Island,Aldous Huxley,"Huxley, Aldous",,"=""0060085495""","=""9780060085490""",0,3.86,Harper Perennial Classics,Paperback,354,2002,1962,2022/12/01,2022/12/18,,,read,,,,1,0
40876575,Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,"Bregman, Rutger",,"=""""","=""""",0,4.23,"Little, Brown and Company",Kindle Edition,262,2017,2014,2022/09/10,2022/09/10,currently-reading,currently-reading (#2),currently-reading,,,,1,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""0192839993""","=""9780192839992""",0,3.85,Oxford University Press,Paperback,207,2001,1914,2022/08/01,2022/10/08,,,read,,,,1,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.04,Vintage Books,Paperback,147,1991,1956,2022/10/01,2022/12/18,,,read,,,,1,0
297779,Master Harold...and the boys,Athol Fugard,"Fugard, Athol",,"=""0140481877""","=""9780140481877""",0,3.79,Penguin Books,Paperback,64,1984,1982,2022/01/01,2022/12/18,,,read,,,,1,0
12220,A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",,"=""0822210894""","=""9780822210894""",0,3.98,Dramatists Play Service,Paperback,107,1952,1947,2022/12/01,2022/12/18,,,read,,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.13,Anchor Books,Paperback,314,1998,1985,2022/10/01,2022/12/18,,,read,,,,1,0
1231892,On Suicide,David Hume,"Hume, David",,"=""0141023953""","=""9780141023953""",3,3.59,Penguin,Paperback,113,2005,1775,2022/08/01,2022/12/18,,,read,,,,1,0
55607293,The Ten Equations That Rule the World: And How You Can Use Them Too,David Sumpter,"Sumpter, David",,"=""""","=""""",0,3.74,Flatiron Books,Kindle Edition,,2021,2020,2022/01/01,2022/09/10,,,read,,,,1,0
