Date,Name,Year,Letterboxd URI
2023-01-03,Taxi Driver,1976,https://boxd.it/2b8y
2023-01-03,The Shape of Water,2017,https://boxd.it/dZ5m
2023-01-04,The Lighthouse,2019,https://boxd.it/icFU
2023-01-04,Jaws,1975,https://boxd.it/2a5e
2023-01-29,All Quiet on the Western Front,2022,https://boxd.it/H08
2023-02-05,12 Angry Men,1957,https://boxd.it/2auI
2023-02-08,The Great Escape,1963,https://boxd.it/22kA
2023-04-13,Kids,1995,https://boxd.it/1YUY
2023-04-13,The Color Purple,1985,https://boxd.it/29oO
2023-04-13,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2023-04-25,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2023-04-25,Vertigo,1958,https://boxd.it/2apI
2023-04-25,Being John Malkovich,1999,https://boxd.it/2ahu
2023-04-29,Lawrence of Arabia,1962,https://boxd.it/2wRE
2023-04-29,Yi Yi,2000,https://boxd.it/1vCw
2023-04-29,At Berkeley,2013,https://boxd.it/6iDw
2023-04-29,Come and See,1985,https://boxd.it/1w9q
2023-04-29,Schindler's List,1993,https://boxd.it/2aq2
2023-04-29,Apocalypse Now,1979,https://boxd.it/6ZS
2023-04-29,The Pianist,2002,https://boxd.it/2aqc
2023-04-29,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-04-29,Black Swan,2010,https://boxd.it/Sw0
2023-04-29,The Breakfast Club,1985,https://boxd.it/27q4
2023-04-29,Jojo Rabbit,2019,https://boxd.it/iEBG
2023-04-29,Us,2019,https://boxd.it/gnV6
2023-04-29,Nightcrawler,2014,https://boxd.it/780m
2023-04-29,Zodiac,2007,https://boxd.it/27MO
2023-04-29,Memento,2000,https://boxd.it/2bcK
2023-04-29,The Hunger,1984,https://boxd.it/pyVY
2023-05-09,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2023-05-21,"Kidnapping, Caucasian Style",1967,https://boxd.it/1CMo
2023-05-21,Sideways,2004,https://boxd.it/1Y5c
2023-06-18,Blazing Saddles,1974,https://boxd.it/1UHQ
2023-06-24,The Big Blue,1988,https://boxd.it/2aX6
2023-07-05,Trainspotting,1996,https://boxd.it/29XY
